Neighborhood,Address Latitude,Address Longitude,Borough,City,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
"Singer109, 109, Singerstraße, Luisenstadt, Mitte, Friedrichshain-Kreuzberg, Berlin, 10179, Deutschland",52.51674000000001,13.42536954279176,Friedrichshain-Kreuzberg,Berlin,1,Hotel,Nightclub,Gym / Fitness Center,Italian Restaurant,Music Venue,Vietnamese Restaurant,Plaza,Bakery,Coffee Shop,Trattoria/Osteria
"121, Karl-Marx-Allee, Hausburgviertel, Friedrichshain, Friedrichshain-Kreuzberg, Berlin, 10243, Deutschland",52.517041299999995,13.447533499999999,Friedrichshain-Kreuzberg,Berlin,11,Café,Coffee Shop,Ice Cream Shop,Bar,Vegetarian / Vegan Restaurant,Pizza Place,Falafel Restaurant,Pub,Middle Eastern Restaurant,Thai Restaurant
"64A, Huttenstraße, Moabit, Mitte, Berlin, 10553, Deutschland",52.527201899999994,13.3256078,Mitte,Berlin,10,Café,Coffee Shop,Pizza Place,Hotel,Vietnamese Restaurant,Asian Restaurant,Gym / Fitness Center,Bar,Italian Restaurant,Breakfast Spot
"H, Turmstraße, Moabit, Mitte, Berlin, 10559, Deutschland",52.527416650000006,13.347827100305645,Mitte,Berlin,10,Café,Bar,Restaurant,Turkish Restaurant,Hotel,Coffee Shop,Cocktail Bar,Gym / Fitness Center,Park,Doner Restaurant
"60-61, Heidestraße, Moabit, Mitte, Berlin, 10557, Deutschland",52.527424,13.370115548457262,Mitte,Berlin,4,Hotel,Coffee Shop,Café,Cocktail Bar,Spa,Science Museum,Gym / Fitness Center,Plaza,Pub,Middle Eastern Restaurant
"10, Torstraße, Spandauer Vorstadt, Mitte, Berlin, 10115, Deutschland",52.5280731,13.3920712,Mitte,Berlin,12,Italian Restaurant,Coffee Shop,Ice Cream Shop,Café,Art Gallery,Bookstore,Park,Sandwich Place,Beer Bar,Pub
"La Vie, 7, Straßburger Straße, Kollwitzkiez, Prenzlauer Berg, Mitte, Berlin, 10405, Deutschland",52.52870400000001,13.414229628644707,Mitte,Berlin,12,Italian Restaurant,Coffee Shop,Hotel,Ice Cream Shop,Café,Beer Bar,Bistro,Bakery,Vietnamese Restaurant,Park
"Am Friedrichshain, Bötzowviertel, Prenzlauer Berg, Pankow, Berlin, 10407, Deutschland",52.5294446,13.436163699999998,Pankow,Berlin,12,Italian Restaurant,Vietnamese Restaurant,Playground,Breakfast Spot,Ice Cream Shop,Pizza Place,Coffee Shop,Cocktail Bar,Café,Bakery
"Westhafenstraße, Moabit, Mitte, Berlin, 13353, Deutschland",52.53907231734173,13.336311778339601,Mitte,Berlin,10,Café,Bar,Italian Restaurant,Turkish Restaurant,Vietnamese Restaurant,Drugstore,Burger Joint,German Restaurant,Cocktail Bar,Park
"27, Lynarstraße, Sprengelkiez, Wedding, Mitte, Berlin, 13353, Deutschland",52.53929345,13.358274630415025,Mitte,Berlin,5,Café,Bar,Restaurant,Turkish Restaurant,Chinese Restaurant,Coffee Shop,Italian Restaurant,Vegetarian / Vegan Restaurant,Middle Eastern Restaurant,Pizza Place
"104, Ackerstraße, Gesundbrunnen, Mitte, Berlin, 13355, Deutschland",52.5398004,13.380704378735633,Mitte,Berlin,2,Café,Coffee Shop,Hotel,Gym / Fitness Center,Restaurant,Bar,Dance Studio,History Museum,Trail,Supermarket
"47A, Bernauer Straße, Spandauer Vorstadt, Mitte, Berlin, 10435, Deutschland",52.5399446,13.4027158,Mitte,Berlin,7,Café,Vietnamese Restaurant,Bar,Wine Bar,Bakery,Ice Cream Shop,Pizza Place,Coffee Shop,Italian Restaurant,Burger Joint
