Address,Latitude,Longitude,Neighborhood
"67, Methfesselstraße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10965, Deutschland",52.4852885,13.3824656,Friedrichshain-Kreuzberg
"Columbiahaus, Platz der Luftbrücke, Gartenstadt Neu-Tempelhof, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Deutschland",52.485163299999996,13.387588036674286,Tempelhof-Schöneberg
"Polizei Direktion 5, Jüterboger Straße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10965, Deutschland",52.4851774,13.397781700767961,Friedrichshain-Kreuzberg
"Züllichauer Straße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10965, Deutschland",52.48522365367322,13.404711905232897,Friedrichshain-Kreuzberg
"Hundeauslauf, Hasenheide, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10967, Deutschland",52.486859800000005,13.413955481170884,Friedrichshain-Kreuzberg
"Jahn-Denkmal, Hasenheide, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10967, Deutschland",52.4860807,13.4196965,Friedrichshain-Kreuzberg
"33, Hobrechtstraße, Flughafenkiez, Neukölln, Berlin, 12047, Deutschland",52.4857301,13.4266561,Neukölln
"44, Nassauische Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10717, Deutschland",52.4882451,13.3267754,Wilmersdorf
"19, Helmstedter Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10717, Deutschland",52.4884355,13.3345354,Wilmersdorf
"Harmonie, 60, Grunewaldstraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10825, Deutschland",52.4885862,13.3418914,Tempelhof-Schöneberg
"79, Eisenacher Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10823, Deutschland",52.4887152,13.3494127,Tempelhof-Schöneberg
"14A, Vorbergstraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10823, Deutschland",52.4888287,13.3566233,Tempelhof-Schöneberg
"Langenscheidtbrücke, Langenscheidtstraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10827, Deutschland",52.4886106,13.363362414653071,Tempelhof-Schöneberg
"Schöneberger Schleife, Schöneberg, Tempelhof-Schöneberg, Berlin, 10829, Deutschland",52.488955383629346,13.371005575322332,Tempelhof-Schöneberg
"26, Kreuzbergstraße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10965, Deutschland",52.4896979,13.3786181,Friedrichshain-Kreuzberg
"82, Mehringdamm, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10965, Deutschland",52.4892508,13.3858799286684,Friedrichshain-Kreuzberg
"Pagode, Bergmannstraße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10961, Deutschland",52.4893112,13.3933939,Friedrichshain-Kreuzberg
"Ferdinand-Freiligrath-Schule, 64, Bergmannstraße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10961, Deutschland",52.48916035,13.40188074369047,Friedrichshain-Kreuzberg
"U-Bhf. Südstern / Körtestraße, Körtestraße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10967, Deutschland",52.4895876,13.4080474,Friedrichshain-Kreuzberg
"52, Graefestraße, Graefekiez, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10967, Deutschland",52.4895002,13.4156395,Friedrichshain-Kreuzberg
"94, Urbanstraße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10967, Deutschland",52.48915515,13.42286645078218,Friedrichshain-Kreuzberg
"4, Reuterplatz, Reuterkiez, Neukölln, Berlin, 12047, Deutschland",52.489646,13.4302286,Neukölln
"24, Pommersche Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10707, Deutschland",52.4925951,13.3159061,Wilmersdorf
"Golden Hair, 131, Uhlandstraße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10717, Deutschland",52.4922321,13.3235669,Wilmersdorf
"24, Bundesallee, Wilmersdorf, Charlottenburg-Wilmersdorf, 10717, Deutschland",52.4924534,13.330433444090186,Wilmersdorf
"30, Barbarossastraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10779, Deutschland",52.4924475,13.3379616,Tempelhof-Schöneberg
"49, Martin-Luther-Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10779, Deutschland",52.4925568,13.3454234,Tempelhof-Schöneberg
"40a, Goltzstraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10781, Deutschland",52.49254245,13.353177439283922,Tempelhof-Schöneberg
"Königskolonnaden, Potsdamer Straße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10783, Deutschland",52.492442600000004,13.360303730572323,Tempelhof-Schöneberg
"Best Beauty Berlin, Yorckstraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10783, Deutschland",52.4930075,13.3675742,Tempelhof-Schöneberg
"Waldterrasse, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10965, Deutschland",52.49287729352134,13.374907904497466,Friedrichshain-Kreuzberg
"Landkost, 78, Yorckstraße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10965, Deutschland",52.4929339,13.3822204,Friedrichshain-Kreuzberg
"111, Gneisenaustraße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10961, Deutschland",52.492862,13.3894639,Friedrichshain-Kreuzberg
"11, Mittenwalder Straße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10961, Deutschland",52.4932461,13.3967959,Friedrichshain-Kreuzberg
"Günter-König-Sportplatz, Blücherstraße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10961, Deutschland",52.4927347,13.403776644744628,Friedrichshain-Kreuzberg
"12h, Grimmstraße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10967, Deutschland",52.4933861,13.4116689,Friedrichshain-Kreuzberg
"Hermann-Hesse-Gymnasium, 16, Böckhstraße, Graefekiez, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10967, Deutschland",52.492883649999996,13.418922495220968,Friedrichshain-Kreuzberg
"3, Bürknerstraße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 12047, Deutschland",52.4934459,13.4264197,Friedrichshain-Kreuzberg
"Institut für soziale Dreigliederung, 15, Liegnitzer Straße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10999, Deutschland",52.4937198,13.4339726,Friedrichshain-Kreuzberg
"56, Wiener Straße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10999, Deutschland",52.493940300000006,13.441087300114209,Friedrichshain-Kreuzberg
"29, Zähringerstraße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10707, Deutschland",52.49573315,13.311932707151549,Wilmersdorf
"67, Düsseldorfer Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10707, Deutschland",52.4960368,13.3193705,Wilmersdorf
"47, Fasanenstraße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10719, Deutschland",52.4960881,13.3267358,Wilmersdorf
"16, Grainauer Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10777, Deutschland",52.4961971,13.3343903,Wilmersdorf
"Foto Meyer, Welserstraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10777, Deutschland",52.496239,13.3416067,Tempelhof-Schöneberg
"70, Winterfeldtstraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10781, Deutschland",52.4964734,13.3488375,Tempelhof-Schöneberg
"Deutsche Telekom, Winterfeldtstraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10783, Deutschland",52.49638895,13.356526054392866,Tempelhof-Schöneberg
"65, Steinmetzstraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10783, Deutschland",52.4963989,13.3637689,Tempelhof-Schöneberg
"Beachpark 61, Yorckstraße, Schöneberg, Tempelhof-Schöneberg, Berlin, 10965, Deutschland",52.495692149999996,13.370904225154849,Tempelhof-Schöneberg
"Technoversum, Historische Ladestraße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10963, Deutschland",52.49646645,13.378044974282155,Friedrichshain-Kreuzberg
"32, Obentrautstraße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10963, Deutschland",52.49715905,13.386006175678698,Friedrichshain-Kreuzberg
"Amerika-Gedenkbibliothek, 1, Blücherplatz, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10961, Deutschland",52.4965672,13.392492023173789,Friedrichshain-Kreuzberg
"Sommerbad Kreuzberg, Alexandrinenstraße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10969, Deutschland",52.4976093,13.402686425793505,Friedrichshain-Kreuzberg
"Statthaus-Böcklerpark, 1, Prinzenstraße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10969, Deutschland",52.496875,13.4078199,Friedrichshain-Kreuzberg
"Jens-Nydahl Schule, 20, Kohlfurter Straße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10999, Deutschland",52.49689325,13.415308945881026,Friedrichshain-Kreuzberg
"32-33, Reichenberger Straße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10999, Deutschland",52.49757515,13.422683488362864,Friedrichshain-Kreuzberg
"16, Wiener Straße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10999, Deutschland",52.49765875,13.430100779599266,Friedrichshain-Kreuzberg
"Mugrabi, 58, Görlitzer Straße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10997, Deutschland",52.4976994,13.4374639,Friedrichshain-Kreuzberg
"72, Wrangelstraße, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10997, Deutschland",52.4977341,13.4446629,Friedrichshain-Kreuzberg
"Olivaer Platz, Bayerische Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10707, Deutschland",52.4993508,13.314563276988576,Wilmersdorf
"André Märtens, Lietzenburger Straße, Charlottenburg, Charlottenburg-Wilmersdorf, 10719, Deutschland",52.4997884,13.3231143,Charlottenburg
"Ranke-Apotheke, 24, Joachimsthaler Straße, Wilmersdorf, Charlottenburg-Wilmersdorf, 10719, Deutschland",52.5000244,13.3305311,Wilmersdorf
"Scandic Berlin Kurfürstendamm, 5, Augsburger Straße, Wilmersdorf, Tempelhof-Schöneberg, Charlottenburg-Wilmersdorf, 10789, Deutschland",52.50005425,13.338300205690386,Tempelhof-Schöneberg
