Address,Address Latitude,Address Longitude,Neighborhood,City,Venue,Venue Latitude,Venue Longitude,Venue Category
"Rosenpromenade, KGA Papestraße, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Deutschland",52.48115853609276,13.371573080713269,Tempelhof-Schöneberg,Berlin,Biertempel 2,52.47995981962472,13.376750763787701,Beer Garden
"Rosenpromenade, KGA Papestraße, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Deutschland",52.48115853609276,13.371573080713269,Tempelhof-Schöneberg,Berlin,Gartengemeinschaft Papestr.,52.482884,13.371395,Garden
"Rosenpromenade, KGA Papestraße, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Deutschland",52.48115853609276,13.371573080713269,Tempelhof-Schöneberg,Berlin,Schöneberger Schleife,52.48077794559968,13.368332621053266,Park
"Rosenpromenade, KGA Papestraße, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Deutschland",52.48115853609276,13.371573080713269,Tempelhof-Schöneberg,Berlin,DBM Druckhaus Berlin-Mitte,52.48212664184692,13.367701929094268,Print Shop
"Rosenpromenade, KGA Papestraße, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Deutschland",52.48115853609276,13.371573080713269,Tempelhof-Schöneberg,Berlin,Bäumerplan,52.479040034666546,13.374407870380004,Park
"Rosenpromenade, KGA Papestraße, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Deutschland",52.48115853609276,13.371573080713269,Tempelhof-Schöneberg,Berlin,Apfelfix iPhone & iPad Reparaturen,52.47829836917408,13.367712550435316,Mobile Phone Shop
"Rosenpromenade, KGA Papestraße, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Deutschland",52.48115853609276,13.371573080713269,Tempelhof-Schöneberg,Berlin,Am Plantscher,52.481055249374634,13.377892971038818,Park
"Rosenpromenade, KGA Papestraße, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Deutschland",52.48115853609276,13.371573080713269,Tempelhof-Schöneberg,Berlin,H Kolonnenbrücke,52.48512421594252,13.372823200841001,Bus Stop
"Rosenpromenade, KGA Papestraße, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Deutschland",52.48115853609276,13.371573080713269,Tempelhof-Schöneberg,Berlin,Bäcker Pera,52.4852172841329,13.374534845352173,Bakery
"Flughafen Tempelhof, Werner-Loebermann-Weg, Gartenstadt Neu-Tempelhof, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Deutschland",52.480649150000005,13.388919072222226,Tempelhof-Schöneberg,Berlin,Ankunftshalle Flughafen Tempelhof,52.48228364596003,13.389437198638916,Historic Site
"Flughafen Tempelhof, Werner-Loebermann-Weg, Gartenstadt Neu-Tempelhof, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Deutschland",52.480649150000005,13.388919072222226,Tempelhof-Schöneberg,Berlin,Flughafen Berlin Tempelhof,52.48089843032048,13.390531539916992,Historic Site
"Flughafen Tempelhof, Werner-Loebermann-Weg, Gartenstadt Neu-Tempelhof, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Deutschland",52.480649150000005,13.388919072222226,Tempelhof-Schöneberg,Berlin,Columbia Theater,52.48468800506645,13.39154257841455,Music Venue
"Flughafen Tempelhof, Werner-Loebermann-Weg, Gartenstadt Neu-Tempelhof, Tempelhof, Tempelhof-Schöneberg, Berlin, 12101, Deutschland",52.480649150000005,13.388919072222226,Tempelhof-Schöneberg,Berlin,Hangar 5,52.48296487556286,13.388547392559625,Historic Site
